REGION_ID_x,REGION_NAME,geometry_x,Traffic_Avg_Speed,region_key,region_name,Daily_Usage
1,Rogers Park - West Ridge,"POLYGON((-87.709645 41.997946, -87.709645 42.026444, -87.654561 42.026444, -87.654561 41.997946, -87.709645 41.997946))",22.27,1,Rogers Park - West Ridge,142.4439
3,North Park-Albany-Linconl Sq,"POLYGON((-87.747456 41.960669, -87.747456 41.997946, -87.67459000000001 41.997946, -87.67459000000001 41.960669, -87.747456 41.960669))",23.6,3,North Park-Albany-Linconl Sq,230.8112
4,Edge Water-Uptown,"POLYGON((-87.67459000000001 41.960669, -87.67459000000001 41.997946, -87.646438 41.997946, -87.646438 41.960669, -87.67459000000001 41.960669))",21.02,4,Edge Water-Uptown,690.2449
5,Dunning-Portage-Belmont Cragn,"POLYGON((-87.84621 41.909269, -87.84621 41.960669, -87.747456 41.960669, -87.747456 41.909269, -87.84621 41.909269))",24.36,5,Dunning-Portage-Belmont Cragn,3.3367
6,Irving Park-Avondale-North Ctr,"POLYGON((-87.747456 41.931841, -87.747456 41.960669, -87.67459000000001 41.960669, -87.67459000000001 41.931841, -87.747456 41.931841))",23.01,6,Irving Park-Avondale-North Ctr,208.6173
7,Hermosa-Logan Square,"POLYGON((-87.747456 41.909269, -87.747456 41.931841, -87.67459000000001 41.931841, -87.67459000000001 41.909269, -87.747456 41.909269))",22.29,7,Hermosa-Logan Square,426.301
8,Lincoln Park-Lake View,"POLYGON((-87.67459000000001 41.910561, -87.67459000000001 41.960669, -87.619112 41.960669, -87.619112 41.910561, -87.67459000000001 41.910561))",21.54,8,Lincoln Park-Lake View,3520.7755
9,Austin,"POLYGON((-87.775947 41.866129, -87.775947 41.909269, -87.747456 41.909269, -87.747456 41.866129, -87.775947 41.866129))",24.2,9,Austin,11.5714
10,Humboldt-Garfield Prk E/W,"POLYGON((-87.747456 41.866129, -87.747456 41.909269, -87.69161700000001 41.909269, -87.69161700000001 41.866129, -87.747456 41.866129))",23.39,10,Humboldt-Garfield Prk E/W,62.3061
11,West Town-Near West,"POLYGON((-87.69161700000001 41.866129, -87.69161700000001 41.910561, -87.64720799999999 41.910561, -87.64720799999999 41.866129, -87.69161700000001 41.866129))",23.5,11,West Town-Near West,1477.25
12,Near North,"POLYGON((-87.64720799999999 41.88886, -87.64720799999999 41.911401, -87.62308 41.911401, -87.62308 41.88886, -87.64720799999999 41.88886))",20.37,12,Near North,1761.0561
13,Chicago Loop,"POLYGON((-87.64720799999999 41.866129, -87.64720799999999 41.88886, -87.62308 41.88886, -87.62308 41.866129, -87.64720799999999 41.866129))",20.05,13,Chicago Loop,1724.1939
14,Lawndale N/S,"POLYGON((-87.747456 41.822792, -87.747456 41.866129, -87.685372 41.866129, -87.685372 41.822792, -87.747456 41.822792))",24.47,14,Lawndale N/S,23.9184
15,Bridgeport-McKinley-Lower West,"POLYGON((-87.685372 41.822792, -87.685372 41.866129, -87.63632199999999 41.866129, -87.63632199999999 41.822792, -87.685372 41.822792))",25.94,15,Bridgeport-McKinley-Lower West,228.2143
16,Near South-Douglas,"POLYGON((-87.63632199999999 41.822792, -87.63632199999999 41.866129, -87.597952 41.866129, -87.597952 41.822792, -87.63632199999999 41.822792))",25.69,16,Near South-Douglas,533.0561
19,New City-Englewood-W Englewood,"POLYGON((-87.68373000000001 41.764066, -87.68373000000001 41.822792, -87.63632199999999 41.822792, -87.63632199999999 41.764066, -87.68373000000001 41.764066))",25.69,19,New City-Englewood-W Englewood,16.9337
20,Fuller-Grand Blvd-Washington Park,"POLYGON((-87.63632199999999 41.764066, -87.63632199999999 41.822792, -87.60633399999999 41.822792, -87.60633399999999 41.764066, -87.63632199999999 41.764066))",26.14,20,Fuller-Grand Blvd-Washington Park,48.2296
21,Hyde Park-Kenwood-Woodlawn,"POLYGON((-87.60633399999999 41.764066, -87.60633399999999 41.822792, -87.56626 41.822792, -87.56626 41.764066, -87.60633399999999 41.764066))",24.87,21,Hyde Park-Kenwood-Woodlawn,337.898
23,Auburn Gresham-Chatham,"POLYGON((-87.67298000000001 41.728472, -87.67298000000001 41.764066, -87.60633399999999 41.764066, -87.60633399999999 41.728472, -87.67298000000001 41.728472))",24.18,23,Auburn Gresham-Chatham,7.3827
24,South Shore-S Chicago-Avlon,"POLYGON((-87.60633399999999 41.728472, -87.60633399999999 41.764066, -87.526388 41.764066, -87.526388 41.728472, -87.60633399999999 41.728472))",25.84,24,South Shore-S Chicago-Avlon,28.8673
25,Beverly-Mt Greenwood-Morgan Park,"POLYGON((-87.747456 41.677477, -87.747456 41.728472, -87.662508 41.728472, -87.662508 41.677477, -87.747456 41.677477))",29.84,25,Beverly-Mt Greenwood-Morgan Park,0.8265
26,Washington Hts-Roseland-Pullman,"POLYGON((-87.662508 41.677477, -87.662508 41.728472, -87.584845 41.728472, -87.584845 41.677477, -87.662508 41.677477))",29.12,26,Washington Hts-Roseland-Pullman,2.9184
27,South Deering-East Side,"POLYGON((-87.584845 41.677477, -87.584845 41.728472, -87.524436 41.728472, -87.524436 41.677477, -87.584845 41.677477))",30.26,27,South Deering-East Side,1.0204
28,Riverdale-Hegewisch,"POLYGON((-87.662508 41.644139, -87.662508 41.677477, -87.524436 41.677477, -87.524436 41.644139, -87.662508 41.644139))",25.19,28,Riverdale-Hegewisch,0.3827
29,Downtown Lakefront,"POLYGON((-87.62308 41.866129, -87.62308 41.911401, -87.595378 41.911401, -87.595378 41.866129, -87.62308 41.866129))",20.43,29,Downtown Lakefront,1184.7806
